loan_id,customer_name,branch,loan_type,loan_amount,interest_rate,tenure_months,disbursed_date,status,emi_amount,repaid_amount,credit_score,month
LN00001,Hamsini Kashyap,Chennai,Gold Loan,171958,12.54,18,2023-01-01,NPA,6630,1480298,593,2023-01
LN00002,Isaiah Mann,Mumbai,Gold Loan,721155,13.32,18,2023-01-01,Active,22595,1054244,694,2023-01
LN00003,Ganga Dasgupta,Chennai,Personal Loan,181932,10.8,6,2023-01-01,Closed,13485,1271118,599,2023-01
LN00004,Mohini Mistry,Chennai,Business Loan,1464414,9.59,6,2023-01-02,Closed,31308,178267,614,2023-01
LN00005,Naksh Kala,Hyderabad,Gold Loan,309178,14.3,36,2023-01-02,Closed,47789,155489,837,2023-01
LN00006,Arya Prabhu,Mumbai,Business Loan,160268,11.24,36,2023-01-02,Defaulted,29086,344126,713,2023-01
LN00007,Devansh Babu,Mumbai,Business Loan,782180,14.02,12,2023-01-03,Defaulted,19859,308362,690,2023-01
LN00008,Kalpit Saha,Mumbai,Gold Loan,1153462,9.97,36,2023-01-03,Closed,10684,913081,677,2023-01
LN00009,Chasmum Issac,Bhubaneswar,Gold Loan,187337,13.07,12,2023-01-03,Closed,28552,1137411,788,2023-01
LN00010,Nidhi Atwal,Hyderabad,Personal Loan,1049890,13.56,24,2023-01-04,Active,4207,815359,845,2023-01
LN00011,Anika Hans,Mumbai,Business Loan,1186074,8.99,6,2023-01-04,Active,49099,101948,736,2023-01
LN00012,Madhavi Gole,Bhubaneswar,Business Loan,962756,11.7,24,2023-01-04,Active,4960,1233770,757,2023-01
LN00013,Ikbal Thaman,Kolkata,Business Loan,225203,9.78,36,2023-01-05,Defaulted,3557,293851,769,2023-01
LN00014,Harrison Sura,Mumbai,Business Loan,1289911,9.1,24,2023-01-05,Active,32689,1186944,739,2023-01
LN00015,Zansi Barad,Hyderabad,Personal Loan,328167,17.9,24,2023-01-05,Active,16893,1205046,833,2023-01
LN00016,Barkha Khare,Kolkata,Personal Loan,91090,11.56,24,2023-01-06,Closed,35272,297986,786,2023-01
LN00017,Hemangini Kibe,Chennai,Business Loan,379365,16.19,36,2023-01-06,Active,3882,13261,743,2023-01
LN00018,Baljiwan Ghosh,Kolkata,Personal Loan,1163396,10.92,24,2023-01-06,Closed,40529,1125285,836,2023-01
LN00019,Daksha Ray,Bhubaneswar,Business Loan,837201,14.97,12,2023-01-07,Active,41635,368760,808,2023-01
LN00020,Pooja Dey,Bhubaneswar,Business Loan,1420455,15.72,36,2023-01-07,Defaulted,32535,853605,795,2023-01
LN00021,Bhavna Shanker,Chennai,Gold Loan,377069,14.16,24,2023-01-07,Closed,15869,1342501,685,2023-01
LN00022,Anika Sehgal,Kolkata,Personal Loan,1297617,12.98,36,2023-01-08,Closed,10166,275796,829,2023-01
LN00023,Pavani Saha,Mumbai,Gold Loan,841743,12.41,18,2023-01-08,Closed,15982,1315823,820,2023-01
LN00024,Kabir Pau,Hyderabad,Gold Loan,153355,11.81,12,2023-01-08,Active,43697,1336220,720,2023-01
LN00025,Ekantika Sarin,Chennai,Gold Loan,1334372,17.33,24,2023-01-09,Closed,41115,770692,708,2023-01
LN00026,Aishani Nagar,Mumbai,Business Loan,1312752,16.39,18,2023-01-09,Active,10269,428745,750,2023-01
LN00027,Sachi Uppal,Bhubaneswar,Gold Loan,234779,17.67,18,2023-01-09,Closed,31064,637787,594,2023-01
LN00028,Ekavir Basu,Chennai,Business Loan,1446025,9.68,36,2023-01-10,Active,16527,673812,813,2023-01
LN00029,Riya Goswami,Bhubaneswar,Gold Loan,1039436,15.44,18,2023-01-10,NPA,5454,835825,620,2023-01
LN00030,Ryan Gour,Hyderabad,Business Loan,1357371,17.41,12,2023-01-10,Active,23878,1472966,652,2023-01
LN00031,Aradhana Sabharwal,Kolkata,Business Loan,536232,10.22,12,2023-01-11,Active,15991,690796,674,2023-01
LN00032,Ojasvi Prabhakar,Bhubaneswar,Gold Loan,967040,9.13,6,2023-01-11,Active,5808,1358126,835,2023-01
LN00033,Triya Sani,Bhubaneswar,Gold Loan,206730,15.54,12,2023-01-11,Active,42410,325203,779,2023-01
LN00034,Tanay Murty,Bhubaneswar,Gold Loan,1483257,13.96,18,2023-01-12,NPA,39593,344866,695,2023-01
LN00035,Zarna Choudhury,Hyderabad,Personal Loan,1248079,16.5,12,2023-01-12,Active,39304,775107,746,2023-01
LN00036,Sachi Loke,Mumbai,Personal Loan,704811,9.83,36,2023-01-12,Active,33386,536644,770,2023-01
LN00037,Vivaan Yadav,Kolkata,Gold Loan,577035,16.06,6,2023-01-13,Active,6802,652416,609,2023-01
LN00038,Mohammed Kapadia,Hyderabad,Gold Loan,698143,10.42,18,2023-01-13,Active,31753,1016003,647,2023-01
LN00039,Isaiah Saha,Chennai,Business Loan,115725,10.05,6,2023-01-13,Active,24083,1050763,720,2023-01
LN00040,Falan Sant,Mumbai,Personal Loan,1228557,10.06,18,2023-01-14,NPA,21354,676585,722,2023-01
LN00041,Vedika Som,Hyderabad,Business Loan,134654,16.24,36,2023-01-14,NPA,25190,1474620,700,2023-01
LN00042,Anika Karpe,Hyderabad,Personal Loan,1003277,14.82,6,2023-01-14,Closed,9142,1174846,671,2023-01
LN00043,Praneel Keer,Hyderabad,Business Loan,641723,13.47,24,2023-01-15,Active,31398,331607,657,2023-01
LN00044,Dakshesh Naik,Kolkata,Gold Loan,369030,11.91,18,2023-01-15,Defaulted,44862,989336,553,2023-01
LN00045,Dayita Banerjee,Chennai,Gold Loan,1427523,16.83,24,2023-01-15,Active,36132,767286,642,2023-01
LN00046,Karan Keer,Hyderabad,Personal Loan,605839,12.23,6,2023-01-16,Active,22503,1029933,555,2023-01
LN00047,Qadim Chhabra,Bhubaneswar,Gold Loan,323538,16.26,24,2023-01-16,Closed,37631,920095,837,2023-01
LN00048,Aarna Sane,Hyderabad,Personal Loan,381236,12.67,24,2023-01-16,Active,19499,1040950,655,2023-01
LN00049,Thomas Gill,Hyderabad,Business Loan,578178,12.08,6,2023-01-17,Defaulted,42852,765791,695,2023-01
LN00050,Kalpit Mitter,Chennai,Personal Loan,615894,12.9,36,2023-01-17,Active,11016,966020,820,2023-01
LN00051,Veda Kunda,Chennai,Personal Loan,539492,11.36,24,2023-01-17,Closed,5384,353827,645,2023-01
LN00052,Faris Lata,Hyderabad,Gold Loan,1355416,15.6,24,2023-01-18,Active,18072,1129833,778,2023-01
LN00053,Theodore Bala,Hyderabad,Business Loan,523254,13.28,36,2023-01-18,Active,39703,61753,751,2023-01
LN00054,Sai Thaker,Hyderabad,Gold Loan,399457,10.71,24,2023-01-18,Active,48895,871206,761,2023-01
LN00055,Neelima Dugal,Bhubaneswar,Personal Loan,715987,17.05,24,2023-01-19,Defaulted,17482,1452879,555,2023-01
LN00056,Kiaan Grewal,Hyderabad,Business Loan,1369512,12.15,24,2023-01-19,Defaulted,43510,1472608,661,2023-01
LN00057,Qadim Butala,Hyderabad,Personal Loan,1338507,13.66,12,2023-01-19,Active,24826,1071984,655,2023-01
LN00058,Indira Lata,Kolkata,Gold Loan,1338205,17.11,36,2023-01-20,Closed,5490,124116,688,2023-01
LN00059,Lakshmi Chandra,Hyderabad,Gold Loan,1303617,14.43,24,2023-01-20,Closed,49092,1022780,848,2023-01
LN00060,Balhaar Wali,Bhubaneswar,Gold Loan,748361,9.61,36,2023-01-20,Active,28518,655496,645,2023-01
LN00061,Maya Madan,Kolkata,Gold Loan,118148,17.43,18,2023-01-21,Active,27045,17413,846,2023-01
LN00062,Anthony Vyas,Bhubaneswar,Personal Loan,698531,14.46,18,2023-01-21,Closed,29910,637938,763,2023-01
LN00063,Matthew Warrior,Chennai,Gold Loan,1350571,11.68,24,2023-01-21,Defaulted,27566,1108076,840,2023-01
LN00064,Dayamai Dave,Kolkata,Business Loan,956606,9.82,36,2023-01-22,Active,36905,870946,571,2023-01
LN00065,Wridesh Badami,Kolkata,Gold Loan,728843,16.04,36,2023-01-22,Active,30103,1104934,742,2023-01
